,train_accuracy,test_accuracy
svm_with_pca,1.0,0.868
linear_probe_with_autoencoding,1.0,0.864
lda_with_autoencoding,0.997,0.86
qda_with_autoencoding,1.0,0.8565
svm_with_autoencoding,1.0,0.8535
qda_with_no_reduction,1.0,0.8395
linear_probe_with_pca,1.0,0.8255
decision_tree_with_pca,1.0,0.8205
lda_with_pca,0.9995,0.8155
random_forest_with_pca,1.0,0.8055
random_forest_with_autoencoding,1.0,0.792
naive_bayes_with_autoencoding,0.9755,0.789
knn1_with_autoencoding,1.0,0.755
knn3_with_autoencoding,0.976,0.7405
knn5_with_autoencoding,0.9705,0.735
random_forest_with_no_reduction,1.0,0.709
naive_bayes_with_no_reduction,0.9785,0.705
knn5_with_pca,0.936,0.7045
knn3_with_pca,0.949,0.7035
knn1_with_pca,1.0,0.7005
decision_tree_with_autoencoding,1.0,0.674
knn1_with_no_reduction,1.0,0.6685
svm_with_no_reduction,0.9995,0.6665
naive_bayes_with_pca,0.837,0.6605
lda_with_no_reduction,0.9995,0.6415
linear_probe_with_no_reduction,1.0,0.6395
knn3_with_no_reduction,0.968,0.6345
decision_tree_with_no_reduction,1.0,0.6315
knn5_with_no_reduction,0.957,0.6245
qda_with_pca,1.0,0.6175
